No.,２．内容・教え方・テキストについて,３．学んだこと・気づき・心がけ・知ったこと
18,事務的な面での問題点- PCのログインに要するパスワードに関して、教室白板の表記にミス有（大文字・小文字）- 会場に用意されているPCのネットワーク接続が講義開始前に確立されていない- Excelが必須の講義でExcelが開けないPCが配備されている明確に時間のロスです。事前確認があれば防げた問題だと思いますが、防げないものなのでしょうか？講師の教え方- 必要十分でお話いただいたが、質疑応答の時間がないｰ「PPTのノートに書いてある文章の読み上げ」であって、プレゼンではないテキスト- 誤植が散見されたので、来期に向けて一度見直しいただきたい,学んだこと- 青森県のざっくりした問題点（もう少し細かいものを勝手に期待していたのですが、概略に関しては資料頂戴できてありがたいです）ｰ データはデータとして、ゴールを決めるのは人間
19,データを用いて青森について知るという内容で、座学だけでなく実践でエクセルを使い、実用的な内容だったので良かった。教え方は大変丁寧で満足でした。,市民税課として、市民や職員にわかりやすく図示した方がよいことが今後あった場合、積極的にグラフや図を用いて根拠付けることで効果的に説明したいと思った。
20,内容自体は良かったのですが、研修の題名から想像していた内容と異なりました。想像していた内容は、青森県の漁獲高、新規就農者など具体的に、青森県内の統計結果について広く話し、そのデータを一緒に分析するのだと思っていました。これは私の思い込みでしたので仕方ないと思いました。それはさておき、講師はやはりプロにお願いしたほうがわかりやすく、時間の配分やファシリテーションが上手なのではないかと思いました。研修内容はとても目新しく面白いと思うのでぜひ継続していただけるといいと思います。余談ですが、統計課相馬主事の講演はとてもわかりやすく、時間の配分ペースがついていきやすかったです。,これまで感覚的に捉えていた県の状況について、統計データを用いてのグラフ作成や、重回帰分析などの手法について、実践を交えて体験することができました。収集したデータの可視化、相関は今後業務で活かせるものと思います。
21,青森県社会経済白書を使っているので、EBPM自体には興味がなくても面白く聞けます。白書と現在とは2年のずれがあるが、実感を数字で表わすとどうなるかが分かって良かったです。,研修生の皆さんグラフを書くのが早いですね。今後は、データがあったらまず時系列グラフを何本か引いてみること、複合グラフは今回習った方法で書いて見ること、分析ツールを使って見ることで、地域の現状を手早く把握したいと思います。
22,講師の皆様のご指導、テキストや資料は満足しております。研修内容は、自身のExcelの知識が不足しており、技術を身につけるまではできませんでした。,本研修を受講したことで「個々人のエピソードや、ステレオタイプなストーリーに流されず根拠に基づく政策立案」を意識することにつながると思います。
23,統計については、業務で扱う機会がなく前提知識も十分ではなかったため、講義や演習の内容を理解するのが難しい場面がありました。特にコーホートについては理解が十分に及ばず、今後あらためて学び直したいと感じました。一方で、テキストは内容が分かりやすく整理されており、復習や業務で必要になった際に見返す資料としても役立つと感じました。,これまで統計データを活用した経験がなかったため、データの収集方法やグラフの作成方法について、実践を交えながら学ぶことができ、大変貴重な経験となりました。今後、データを活用する部署へ異動する機会があれば、研修で学んだ知識や手法を生かし、データに基づくエビデンスを踏まえた政策立案に取り組んでいきたいです。
24,基本的なグラフの作り方を丁寧に資料に載せてくれたので資料を見ながら作ることができた。講師の方もゆっくりわかりやすく説明してくれたので、わかりやすかったです。,統計を扱う部署に行った際には、e-Statを活用して既存のデータからまず探してみようと思いました。私は恥ずかしながらExcelに関する知識がほとんどないので、今回の研修の内容を十分に理解して活用するにはもう少し時間が必要だなと思いました。今回の内容を使えるようになれば日々の仕事はかなり楽に進めることができると思ったのでこれからも仕事をしていきExcelにも慣れていきたいと思いました。
25,研修内容については、統計分析を未経験であっても理解することが出来た。講師の教え方やテキスト、資料については難し過ぎず、注釈もあり、分かりやすかった。,統計分析にあたり、相関分析や回帰分析など具体的にどのような手段で行われているか知ることが出来た。また、分析結果に対して、原因や対策を考えるにあたっては、様々な方向から多角的に考えることの重要であることに気づくことが出来た。
26,座学と実技共に1日で受講できる内容にまとめられていて、要点を学ぶには十分だと感じました。1部について、EBPMの観点で資料を読み解く術を述べられていることに理解はできたのですが、読み上げのようになっていたので受講資料が白黒であったことから読解の速度が追いつけませんでした。資料は受講者が印刷して持参することも検討していただけると助かります。,統計分析のもとになる資料が初めて知ったものもあり今後の業務に活用してみます。
27,統計関係の業務を担当したことがなかったため知識がなく、また、パソコンの操作方法などにも不安がありましたが、わかりやすくご指導いただけて理解が深まりました。,これまでは収集したデータの活用方法がわからず、そもそもデータの収集はどのようにやるのかわからないという状態でしたが、データベースの存在や分析方法などを知ることができました。
28,コーホート変化率、相関のあたりでちょっと付いていけないスピードでしたが、考え方や使い方などは分かりました。,グラフを使って一目でわかりやすく、相関で分析する事で問題点を発見解決できるという事が分かりました。これから町を良くするために役立てたいと思います。
29,スクリーンでは色別の解説をされていたが、手元の資料はモノクロのため、色の違いが判別できなかった。本研修はグラフ等を多用しているので、配布資料もカラーにしていただければ資料でも受講しやすいと思う。,データに基づく現状把握や未来予測が、エビデンスに基づく政策立案に不可欠であると学んだ。特に人口推計の具体的な算出法は新たに知る知識であり、統計データの持つ重要性を深く認識する契機となった。分析作業については操作スキル不足により作業に遅れてしまいがちで、周囲のペースや講師の進行想定についていくのに苦慮したが、講師スタッフの巡回と操作フォローが手厚かった。
30,丁寧な講師の説明と職員の細やかなサポートで、充実した研修でした。資料のグラフがカラーだと、より振り返りやすいと思いました。,今回受講した内容（データを可視化する方法）を、できるところから今後の業務に積極的に取り入れていこうと思いました。
31,「よくわかる青森研修」というタイトルであったが、普段の業務であまりデータ分析を行っていないこともあり、想定していたよりもレベルが高く、研修の流れについていくことに一苦労でした。講師の教え方やテキスト資料についてはまとまっており良かったと思います。また、青森県社会経済白書も頂戴できたので、業務の合間に読みたいと思います。,これまで使ったことのない「コーホート変化率法」や「相関係数」や「回帰分析」等、今後の業務で活かせそうなスキルを学ぶことができ、研修に参加してよかったと思います。忘れないうちに復習し、業務に活用していきたいと思います。
32,資料は説明がしっかりしていたので、大変わかりやすかった。グラフなど慣れていない受講者が時間がかかっていたので、もう少し説明のステップを細かく刻んで、スライドを増やして詳しくした方が、講義全体の時間効率が良いと思った。インターネット用パソコンは、マウスが無いために操作がしづらかった。机のスペースに対して、作業パソコンやインターネットパソコンが並ぶために狭く、環境はあまり良くなかった。ただし、ギリギリなんとかなる範囲でもあった。講師の教え方は、特に問題は無かった。躓いている人に対して、ちゃんと教えている様子が見られたので、しっかりやっていた。,統計の内容、e-statの紹介と使い方、グラフの編集が興味深かった。グラフはアカデミックな方面とは全く異なるものであったが、この分野におけるスタイルを学ぶことができて参考になった。e-statでは字単位で人口構成がわかるのに驚いた。必ずしも自分の研究や業務に直ぐに流用できるわけではないが、新たな知見を多く得ることができたので、咀嚼して活用を進めていきたい。
33,白鳥 昌平 講師、相馬 雄祐 講師及び藤本 月花講師には、親切且つ丁寧に御教授いただくとともに、ボリュームのある資料を御提供いただき、大変感激しております。本当にありがとうございました。誠に恐縮なのですが、今後とも御指導御鞭撻を賜りますよう何卒よろしくお願い申し上げます。,根拠（データ解析結果）に基づく政策立案（EBPM：Evidence-Based Policy Making）の基礎について学ぶことができました。
34,・データの収集方法から活用まで一通り学べてよかったです。分からない点も、すぐご対応いただきありがとうございました。・グラフの作成方法の資料は、新採用の職員に伝える際に活用したいと思いました。・データを活用するために整える作業に特に時間がかかってしまいました。・また、経済白書を配布いただき、ありがとうございます。業務の参考にさせていただきます。,・相関係数や回帰分析については、耳にしたことがありましたが全く分かっていなかったので、大変勉強になりました。今後の業務に活かしたいと思います。
